kscore	rxn.code	rxn.name	rxn.genes	rxn.formula
1.00	r_2635	MLCL (2-16:1, 3-16:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2636	MLCL (2-16:1, 3-18:0, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-18:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-18:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2637	MLCL (2-16:1, 3-18:0, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-18:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-18:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2638	MLCL (2-16:1, 3-18:0, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-18:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-18:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2639	MLCL (2-16:1, 3-18:0, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-18:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-18:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2640	MLCL (2-16:1, 3-18:0, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-18:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-18:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2641	MLCL (2-16:1, 3-18:0, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-18:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-18:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2642	MLCL (2-16:1, 3-18:0, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-18:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-18:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2643	MLCL (2-16:1, 3-18:0, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-18:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-18:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2644	MLCL (2-16:1, 3-18:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2645	MLCL (2-16:1, 3-18:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2646	MLCL (2-16:1, 3-18:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2647	MLCL (2-16:1, 3-18:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2648	MLCL (2-16:1, 3-18:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2649	MLCL (2-16:1, 3-18:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2650	MLCL (2-16:1, 3-18:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2651	MLCL (2-16:1, 3-18:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2652	MLCL (2-16:1, 3-16:0, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:0, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:0, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2653	MLCL (2-16:1, 3-16:0, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:0, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:0, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2654	MLCL (2-16:1, 3-16:0, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:0, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:0, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2655	MLCL (2-16:1, 3-16:0, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:0, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:0, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2656	MLCL (2-16:1, 3-16:0, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:0, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-16:0, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2657	MLCL (2-16:1, 3-16:0, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:0, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-16:0, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2658	MLCL (2-16:1, 3-16:0, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:0, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-16:0, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2659	MLCL (2-16:1, 3-16:0, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:0, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-16:0, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2660	MLCL (2-16:1, 3-16:1, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2661	MLCL (2-16:1, 3-16:1, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2662	MLCL (2-16:1, 3-16:1, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2663	MLCL (2-16:1, 3-16:1, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2664	MLCL (2-16:1, 3-16:1, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2665	MLCL (2-16:1, 3-16:1, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2666	MLCL (2-16:1, 3-16:1, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2667	MLCL (2-16:1, 3-16:1, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2668	MLCL (2-18:1, 3-16:0, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-16:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2669	MLCL (2-18:1, 3-16:0, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-16:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2670	MLCL (2-18:1, 3-16:0, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-16:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2671	MLCL (2-18:1, 3-16:0, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-16:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2672	MLCL (2-18:1, 3-16:0, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-16:0, 4-16:1) [mitochondrial membrane] 
1.00	r_2673	MLCL (2-18:1, 3-16:0, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-16:0, 4-16:1) [mitochondrial membrane] 
1.00	r_2674	MLCL (2-18:1, 3-16:0, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-16:0, 4-16:1) [mitochondrial membrane] 
1.00	r_2675	MLCL (2-18:1, 3-16:0, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-16:0, 4-16:1) [mitochondrial membrane] 
1.00	r_2676	MLCL (2-18:1, 3-16:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2677	MLCL (2-18:1, 3-16:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2678	MLCL (2-18:1, 3-16:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2679	MLCL (2-18:1, 3-16:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2680	MLCL (2-18:1, 3-16:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-16:1, 4-16:1) [mitochondrial membrane] 
1.00	r_2681	MLCL (2-18:1, 3-16:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-16:1, 4-16:1) [mitochondrial membrane] 
1.00	r_2682	MLCL (2-18:1, 3-16:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-16:1, 4-16:1) [mitochondrial membrane] 
1.00	r_2683	MLCL (2-18:1, 3-16:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-16:1, 4-16:1) [mitochondrial membrane] 
1.00	r_2684	MLCL (2-18:1, 3-18:0, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-18:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-18:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2685	MLCL (2-18:1, 3-18:0, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-18:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-18:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2686	MLCL (2-18:1, 3-18:0, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-18:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-18:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2687	MLCL (2-18:1, 3-18:0, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-18:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-18:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2688	MLCL (2-18:1, 3-18:0, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-18:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-18:0, 4-16:1) [mitochondrial membrane] 
1.00	r_2689	MLCL (2-18:1, 3-18:0, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-18:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-18:0, 4-16:1) [mitochondrial membrane] 
1.00	r_2690	MLCL (2-18:1, 3-18:0, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-18:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-18:0, 4-16:1) [mitochondrial membrane] 
1.00	r_2691	MLCL (2-18:1, 3-18:0, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-18:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-18:0, 4-16:1) [mitochondrial membrane] 
1.00	r_2692	MLCL (2-18:1, 3-18:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-18:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2693	MLCL (2-18:1, 3-18:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-18:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2694	MLCL (2-18:1, 3-18:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-18:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
